Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Global,USA,Australia,Canada,Ireland,UK
Don't Be Shy,Don't Be Shy,Tiësto,2021-08-12,140500,91,0.198,0.77,0.787,0.0,0.262,-3.748,0.0583,119.986,4,0.513,1,0,0,0,0,0
Índigo,Índigo,Camilo,2021-10-13,214933,86,0.00884,0.748,0.779,3.96e-05,0.113,-6.659,0.0342,128.91,4,0.928,1,0,0,0,0,0
Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,90,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,4,0.398,1,1,0,1,0,0
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,2021-10-22,225600,83,0.00406,0.8,0.837,0.00313,0.0904,-2.807,0.0491,100.015,4,0.702,1,0,0,0,0,0
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,2021-08-13,162603,90,0.018,0.787,0.833,0.00747,0.0374,-4.403,0.0478,123.97,4,0.796,1,0,1,0,1,1
drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,91,0.768,0.561,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4,0.137,1,0,0,0,0,0
Nostálgico,Nostálgico,Rvssian,2021-09-08,209883,90,0.166,0.734,0.846,1.74e-06,0.235,-3.425,0.0489,98.026,4,0.604,1,0,0,0,0,0
Rolling in the Deep,21,Adele,2011-01-19,228093,50,0.138,0.73,0.769,0.0,0.0473,-5.114,0.0298,104.948,4,0.507,1,0,0,0,1,1
In Da Getto,JOSE,J Balvin,2021-09-10,130666,80,0.0177,0.924,0.723,2.61e-05,0.113,-3.142,0.0466,126.998,4,0.643,1,0,0,0,0,0
I Love You So,I Love You So,The Walters,2014-11-28,160239,68,0.583,0.575,0.648,0.0,0.115,-4.891,0.0358,75.977,4,0.466,1,1,0,0,0,0
Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,91,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4,0.593,1,0,1,0,0,0
When We Were Young,25,Adele,2015-11-20,290900,85,0.322,0.372,0.566,0.0,0.0953,-6.779,0.0519,146.399,4,0.28,1,1,1,1,1,1
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,92,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,4,0.292,1,1,1,1,0,1
family ties (with Kendrick Lamar),The Melodic Blue,Baby Keem,2021-09-10,252262,78,0.00588,0.711,0.611,0.0,0.23,-5.453,0.33,134.093,4,0.144,0,1,0,1,0,0
"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2021-10-08,279853,83,0.0045,0.739,0.74,0.0,0.161,-5.86,0.333,75.575,4,0.488,0,1,0,0,0,0
2055,Still Sleep?,Sleepy Hallow,2021-06-02,123986,88,0.492,0.829,0.512,0.0,0.12,-5.865,0.187,80.511,4,0.638,0,1,1,1,1,1
