Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,Marshmello,2021-05-21,154983,88,0.00226,0.721,0.738,4.41e-06,0.118,-4.77,0.0403,119.976,4
Alone With You,Alone With You,Arz,2021-08-21,195200,72,0.288,0.768,0.374,1.67e-06,0.111,-12.49,0.723,75.503,4
Visiting Hours,Visiting Hours,Ed Sheeran,2021-08-19,215506,84,0.77,0.471,0.396,0.0,0.0729,-6.654,0.0336,149.609,4
Mr. Brightside,Hot Fuss,The Killers,2004,222973,81,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,148.033,4
Moon,Donda,Kanye West,2021-08-29,156091,88,0.898,0.319,0.236,1.62e-05,0.272,-9.644,0.0318,162.351,4
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,2021-03-19,173346,92,0.00165,0.75,0.608,0.0,0.178,-4.008,0.0387,132.507,4
Mood (feat. iann dior),El Dorado,24kGoldn,2021-03-26,140533,88,0.174,0.701,0.716,0.0,0.324,-3.671,0.0361,91.007,4
Astronaut In The Ocean,Astronomical,Masked Wolf,2021-09-10,132780,68,0.175,0.778,0.695,0.0,0.15,-6.865,0.0913,149.996,4
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,91,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
The Thrill,The Thrill,Wiz Khalifa,2020-11-11,234333,78,0.277,0.817,0.775,0.0,0.108,-4.767,0.108,126.984,4
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,86,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4
