Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
Clash (feat. Stormzy),We're All Alone In This Together,Dave,2021-07-22,251733,74,0.313,0.871,0.519,8.14e-06,0.0869,-6.549,0.258,140.013,4
Little Bit of Love,Evering Road (Deluxe),Tom Grennan,2021-03-12,226268,76,0.0833,0.689,0.706,0.0,0.105,-4.48,0.0312,106.52,4
Let Them Know,Let Them Know,Mabel,2021-06-18,148693,75,0.0148,0.717,0.855,0.0,0.0887,-5.646,0.094,125.002,4
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,242965,90,0.0635,0.849,0.424,0.0,0.0834,-9.579,0.324,145.887,4
24/5,24/5,Mimi Webb,2021-09-10,158220,73,0.403,0.559,0.763,0.0,0.127,-4.16,0.105,91.069,4
BED,BED,Joel Corry,2021-02-26,178087,83,0.0142,0.671,0.782,0.00221,0.333,-4.593,0.0341,123.989,4
Champagne Poetry,Certified Lover Boy,Drake,2021-09-03,336511,89,0.758,0.423,0.667,0.0,0.246,-7.012,0.326,86.743,4
Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,2020-10-30,167903,84,0.0689,0.632,0.595,0.0,0.209,-7.644,0.0401,124.114,4
Visiting Hours,Visiting Hours,Ed Sheeran,2021-08-19,215506,84,0.77,0.471,0.396,0.0,0.0729,-6.654,0.0336,149.609,4
Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,2020-07-03,166028,85,0.168,0.734,0.874,1.14e-05,0.0489,-3.158,0.0662,122.953,4
