Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,221979,90,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,4,0.381
Praise God,Donda,Kanye West,2021-08-29,226652,86,0.00904,0.798,0.545,9.48e-05,0.258,-6.466,0.168,118.029,4,0.212
Hurricane,Donda,Kanye West,2021-08-29,243187,86,0.0466,0.587,0.561,0.0,0.109,-6.569,0.146,80.009,4,0.351
You Right,Planet Her,Doja Cat,2021-06-25,186173,86,0.0164,0.828,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4,0.436
Not In The Mood (feat. Fivio Foreign & Kay Flock),Not In The Mood (feat. Fivio Foreign & Kay Flock),Lil Tjay,2021-10-22,150475,79,0.0951,0.545,0.82,0.0,0.29,-4.489,0.275,141.908,4,0.357
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334
Ain't Shit,Planet Her,Doja Cat,2021-06-25,174253,87,0.506,0.855,0.488,0.0,0.347,-4.601,0.208,124.097,4,0.619
No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,292986,86,0.301,0.692,0.521,0.0,0.0565,-8.465,0.33,100.45,4,0.463
When We Were Young,25,Adele,2015-11-20,290900,85,0.322,0.372,0.566,0.0,0.0953,-6.779,0.0519,146.399,4,0.28
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05,207301,93,0.0889,0.639,0.703,1.78e-06,0.0865,-6.33,0.0794,169.888,4,0.138
Está Dañada,Alma Vacía,Ivan Cornejo,2021-08-20,214148,85,0.38,0.405,0.565,0.0195,0.107,-9.266,0.0372,159.892,3,0.166
I Love You So,I Love You So,The Walters,2014-11-28,160239,68,0.583,0.575,0.648,0.0,0.115,-4.891,0.0358,75.977,4,0.466
