Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence
Talk About,Talk About,Rain Radio,2021-05-14,161040,79,0.000222,0.814,0.874,0.522,0.276,-5.316,0.0425,123.992,4,0.434
Kiss My (Uh Oh),Therapy,Anne-Marie,2021-07-23,176800,79,0.0151,0.638,0.878,0.000223,0.308,-3.639,0.0484,103.948,4,0.481
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,2021-09-03,257604,93,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4,0.331
24/5,Seven Shades of Heartbreak,Mimi Webb,2021-10-22,158539,58,0.409,0.56,0.763,0.0,0.122,-4.159,0.105,91.058,4,0.346
traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,93,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,4,0.0849
Beggin',Chosen,Måneskin,2017-12-08,211560,96,0.127,0.714,0.8,0.0,0.359,-4.808,0.0504,134.002,4,0.589
Set Fire to the Rain,21,Adele,2011-01-19,242973,43,0.00408,0.603,0.67,1.68e-06,0.112,-3.882,0.0249,107.993,4,0.446
Drive (feat. Wes Nelson),Drive (feat. Wes Nelson),Clean Bandit,2021-07-30,179374,79,0.0624,0.81,0.571,1.63e-06,0.094,-7.189,0.085,125.994,4,0.771
MONEY,LALISA,LISA,2021-09-10,168227,93,0.161,0.831,0.554,6.12e-05,0.152,-9.998,0.218,140.026,4,0.396
Chasing Pavements,19,Adele,2008-01-27,210506,76,0.291,0.616,0.47,0.0,0.111,-6.092,0.0253,80.03,4,0.325
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334
